,Date,Open,High,Low,Close,Adj Close,Volume
365,2023-02-28,1.235182,1.242497,1.21484,1.231139,1.231139,451886048.0
364,2023-02-27,1.281284,1.285198,1.217959,1.235484,1.235484,551274461.0
363,2023-02-26,1.24866,1.298177,1.239866,1.281183,1.281183,413456032.0
362,2023-02-25,1.266012,1.276757,1.20257,1.24885,1.24885,471995898.0
361,2023-02-24,1.354599,1.36169,1.252778,1.265957,1.265957,617649145.0
360,2023-02-23,1.396782,1.416687,1.34006,1.354701,1.354701,534094666.0
359,2023-02-22,1.385113,1.398883,1.324411,1.397024,1.397024,722694672.0
358,2023-02-21,1.474428,1.500601,1.368997,1.384936,1.384936,790150889.0
357,2023-02-20,1.479609,1.506097,1.442336,1.474328,1.474328,628000707.0
356,2023-02-19,1.486768,1.533781,1.472298,1.478552,1.478552,719130733.0
355,2023-02-18,1.525579,1.559103,1.478383,1.48684,1.48684,774164641.0
354,2023-02-17,1.371665,1.536422,1.371665,1.525588,1.525588,1303138204.0
353,2023-02-16,1.3298,1.462005,1.321436,1.371723,1.371723,1219004023.0
352,2023-02-15,1.258687,1.330509,1.234439,1.330032,1.330032,613493994.0
351,2023-02-14,1.186454,1.259244,1.169728,1.258773,1.258773,770359563.0
350,2023-02-13,1.238334,1.242274,1.144372,1.186845,1.186845,748185120.0
349,2023-02-12,1.251252,1.300127,1.229917,1.238516,1.238516,543445136.0
348,2023-02-11,1.230424,1.255009,1.218026,1.251412,1.251412,452302092.0
347,2023-02-10,1.22848,1.3088,1.220508,1.230595,1.230595,1009957719.0
346,2023-02-09,1.30425,1.344698,1.216989,1.228342,1.228342,1272709220.0
345,2023-02-08,1.269234,1.340357,1.263517,1.30397,1.30397,947174326.0
344,2023-02-07,1.190357,1.269726,1.190325,1.268975,1.268975,577383745.0
343,2023-02-06,1.204367,1.236038,1.18076,1.190415,1.190415,438369543.0
342,2023-02-05,1.251095,1.257845,1.189648,1.204501,1.204501,562393241.0
341,2023-02-04,1.244452,1.281474,1.219098,1.250628,1.250628,531020758.0
340,2023-02-03,1.180328,1.250519,1.17193,1.244227,1.244227,696790458.0
339,2023-02-02,1.194626,1.251927,1.180182,1.180444,1.180444,832824008.0
338,2023-02-01,1.111085,1.201528,1.071382,1.194967,1.194967,641029088.0
337,2023-01-31,1.087332,1.120914,1.080363,1.111333,1.111333,418321993.0
336,2023-01-30,1.177862,1.178241,1.073565,1.087235,1.087235,602563770.0
335,2023-01-29,1.144364,1.1962,1.133303,1.17788,1.17788,629748131.0
334,2023-01-28,1.158248,1.166155,1.096737,1.144232,1.144232,624675428.0
333,2023-01-27,1.123072,1.185705,1.072021,1.158274,1.158274,1013090701.0
